,id,kw_location,time_location,created_date,period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,year,month
6625,6661,US,UK,2023-04-01 08:05:03,Morning,Little Rock tornado,South Carolina women's basketball,Andrew Tate,Chicago weather,Earthquake,Joni Mitchell,Knicks,Apollo Theater,Trans Day of Visibility,Anthony Rendon,Anthony Davis,LSU vs Virginia Tech,WrestleMania,Vatican Pope Francis,La Liga,Boygenius,Annie Lennox,LaMarcus Aldridge,April Fools' Day,Oakland A's,2023,4
6626,6662,UK,UK,2023-04-01 08:05:03,Morning,The Power,April Fools' Day,Vince McMahon,Michael Vaughan,Donald Trump,Andrew Tate,Adam Sandler,Burnley vs Sunderland,Harlem Eubank,Oscar Pistorius,Anthony Joshua,F1,IPL,Dungeons and dragons movie,Falcon Gladiators,Tetris movie,Beyond Paradise,Busted tickets,Chelsea Women,Vampire Survivors,2023,4
6628,6664,DE,UK,2023-04-01 08:05:03,Morning,Formel-1,Premier League,Bundesliga,Trump,HSV,Boris Becker,Bayern Dortmund,49-Euro-Ticket,Oscar Pistorius,Eschweiler Explosion,FC-Bayern München Thomas Tuchel,Rogue One,La Liga,König Charles III Hamburg,FC Köln,Robert Gallinowski,Nils Petersen,Reno,King Charles,E-Fuels,2023,4
6629,6665,FR,UK,2023-04-01 08:05:03,Morning,Premier League,Marseille,Marathon de Paris,Andrew Tate,Serie A,Robert Charlebois,Genshin Impact,Tetris,Ligue 1,Sophie Binet CGT,Trump,Herve Renard,Patrick Juvet,Zaho de Sagazan,Poisson d'avril,Obseques Marion Game,Accident voiture Sofian Kiyine,Arthur,Formule 1,Thor : Love and Thunder,2023,4
6630,6666,NL,UK,2023-04-01 08:05:03,Morning,Claude,1 april,Metallica,Johan Leysen,F1,Trump,Andrew Tate,Eredivisie,PEC Zwolle,GP australie,Viaplay,ADO Den Haag,NAC,Stromae,MVV,Guus Meeuwis,Wim de Bie,Gibraltar,Nederland,FNV,2023,4
6631,6667,IT,UK,2023-04-01 08:05:03,Morning,Antonello Venditti,Mango,Previsioni meteo Pasqua Pasquetta,Andrew Tate,Roger Waters,Oroscopo Paolo Fox previsioni,Ospiti Felicissima Sera,Peacekeeper,Ragazze elettriche,Irma Testa,Sinner Alcaraz,Serie B,F1,Osimhen,Trump,Fabio Cannavaro,Pesce d'aprile,Probabili formazioni,Atm,Agrigento,2023,4
6632,6668,AUS,UK,2023-04-01 08:05:03,Morning,Andrew Tate,Daylight savings,F1 qualifying,April Fools,Oscar Pistorius,April Fools' Day,April Fool's pranks,Jonathan Majors,Charles Leclerc,LIV Golf,Penrith Panthers,Mudgee,Kill Boksoon,Hawthorn,The Power,Ron DeSantis,WrestleMania,Trump,Porter Davis,Doug Mulray,2023,4
6634,6670,US,UK,2023-04-01 18:58:07,Evening,Premier League,Arsenal,Barcelona,Chelsea,Taylen Mosley,Arsenal vs Leeds United,Iowa women's basketball,Tornado,Andrew Tate,April Fools' Day,Chicago weather,Apollo Theater,Knicks,Earthquake,IPL,Joni Mitchell,Anthony Davis,Anthony Rendon,LSU vs Virginia Tech,Trans Day of Visibility,2023,4
6635,6671,UK,UK,2023-04-01 18:58:07,Evening,Premier League,Arsenal,Nottingham Forest,Chelsea vs Aston Villa,Crystal Palace vs Leicester City,Rangers,Sheffield United,Rangers vs Dundee United,Sheffield Wednesday,Cardiff City,Haaland,Brighton vs Brentford,Huddersfield Town,Ken Buchanan,Bournemouth vs Fulham,Premier League scores,The Power,Wrexham vs Oldham Athletic,Ipswich Town,WrestleMania,2023,4
6637,6673,DE,UK,2023-04-01 18:58:07,Evening,Premier League,Til Schweiger,Schalke,VfB Stuttgart,Andrew Tate,RB Leipzig,RB Leipzig gegen Mainz,WoW,Hannover 96,Serie a,Ein schritt zum abgrund,Japan,Frederick Lau,KSC,Galatasaray,Arsenal,Psg,Jan Böhmermann,Bundesliga,2. Bundesliga,2023,4
6638,6674,FR,UK,2023-04-01 18:58:07,Evening,Manchester City \u2013 Liverpool,Marathon de Paris,Bayern \u2013 Dortmund,Andrew Tate,Marseille,Serie A,Auxerre \u2013 Troyes,Poisson,Challenge Cup,Champions Cup,Rugby feminin,Jean-Luc Lemoine,Leipzig,Robert Charlebois,MotoGP Argentine,Chelsea,Genshin Impact,Metallica,Chantal Ladesou,Thomas Pesquet,2023,4
6639,6675,NL,UK,2023-04-01 18:58:07,Evening,Manchester City  Liverpool,PSV,Walibi,Arsenal,Claude,FC Twente,Volta Limburg Classic,Gordon,Bayern,FC Barcelona,La Liga,FC Emmen,Johan Derksen,Twente,Ed Sheeran,Eredivisie,Andrew Tate,Johan Leysen,Trump,GP australie,2023,4
6640,6676,IT,UK,2023-04-01 18:58:07,Evening,Serie A,Manchester City  Liverpool,Cagliari  Südtirol,Risultati Serie A,Antonello Venditti,Parma-Palermo,Campionato serie a,Susanna Messaggio,Previsioni meteo Pasqua Pasquetta,Dazn,Ascoli-Brescia,Bundesliga,Perugia Frosinone,VPN,Messi,Classifica di Serie a,Arsenal  Leeds,Juventus-Verona,Liga,Roger Waters,2023,4
6641,6677,AUS,UK,2023-04-01 18:58:07,Evening,Broncos,Arsenal,Arsenal vs Leeds United,Daylight savings,Premier League,Andrew Tate,April Fools' Day,F1 qualifying,Oscar Pistorius,WrestleMania 39,Lee Do Hyun,Carlton,Sea Eagles vs Knights,Showdown,Charles Leclerc,Sydney FC,Kill Boksoon,Penrith Panthers,Mudgee,Hawthorn,2023,4
6643,6679,US,UK,2023-04-02 08:05:02,Morning,Australian Grand Prix,Justin Timberlake,Lil Yachty,Premier League,UConn vs Miami,Florida Atlantic,Bundesliga,Chelsea,April Fools,Arsenal,Barcelona,Palm Sunday,Michael Jordan,Real Madrid,Anthony Joshua,The Ten Commandments,Arsenal vs Leeds United,PSG,Timberwolves,Taylen Mosley,2023,4
6644,6680,UK,UK,2023-04-02 08:05:02,Morning,Rey Mysterio,Piers Morgan,Premier League,Arsenal,Chelsea,Lotto results,Bayern Munich,WrestleMania,Liverpool FC,Nottingham Forest,Lily Allen,Crystal Palace vs Leicester City,Frank Sinatra,Busted,Rangers,Gareth Richards accident,Magpie Murders,Sheffield United,Elche vs Barcelona,Cardiff City,2023,4
6646,6682,DE,UK,2023-04-02 08:05:02,Morning,Marie Wegener,Premier League,DSDS,VfB Stuttgart,Schalke,RB Leipzig gegen Mainz,Dieter Bohlen,The Masked Singer,RB Leipzig,WrestleMania 39,Anthony Joshua,Hertha BSC,St. Pauli,KSC,Lothar Matthäus,Japan,Arsenal,WrestleMania 2023,Pietro Lombardi,Thomas Gottschalk,2023,4
6647,6683,FR,UK,2023-04-02 08:05:02,Morning,Anthony Joshua,Real Madrid,Coupe de France,Inter Milan,Vanessa Paradis,Manchester City \u2013 Liverpool,Bayern \u2013 Dortmund,Marathon de Paris 2023,Chelsea \u2013 Aston Villa,ASSE,Arsenal,Juventus \u2013 Hellas Vérone,Auxerre \u2013 Troyes,Champions Cup,Andrew Tate,Bigflo et Oli,Tony Parker,Marseille,WrestleMania 39,Challenge Cup,2023,4
6648,6684,NL,UK,2023-04-02 08:05:02,Morning,Ajax,Juventus,Waylon,AZ,PSV,Premier League,Cambuur,FC Twente,Liverpool,Bayern,Vitesse,Barcelona,1 april,Walibi,Volta Limburg Classic,Formule 1,Eredivisie,Andrew Tate,PEC Zwolle,Trump,2023,4
6649,6685,IT,UK,2023-04-02 08:05:02,Morning,Eliminato Amici,San Francesco di Paola,Ricchi e Poveri,Celentano Alessandra,ACF Fiorentina,Alessio Corvino Uomini e Donne,Tommaso Zorzi,Federer,Juventus-Verona,Buona Domenica delle Palme,Cremonese-Atalanta,Manchester City  Liverpool,Bundesliga,Cagliari  Südtirol,Campionato Serie a,Parma-Palermo,DAZN,Susanna Messaggio,Antonello Venditti,Ascoli-Brescia,2023,4
6650,6686,AUS,UK,2023-04-02 08:05:02,Morning,Arsenal,Broncos,Chelsea,Tom Pelphrey,Palm Sunday,Rhea Ripley,Bayern vs Dortmund,Arsenal vs Leeds United,Dolphins NRL,Geelong Cats,Elche vs Barcelona,Sam Backo,Im a celebrity 2023,Rey Mysterio,I'm A Celebrity,Fernando Alonso,Man utd,John Cena,Jeremy Cameron,PSG,2023,4
6652,6688,US,UK,2023-04-02 18:58:04,Evening,F1,Red Sox,Asa Hutchinson,Neil Diamond,Mavericks,Lil Yachty,Fool's Day April Fools pranks,The thing,Premier League,Man City vs Liverpool,Palm Sunday,UConn vs Miami,Real Madrid,Bundesliga,Chelsea,Arsenal,Barcelona,Apollo theater collapse,Michael Jordan,Anthony Joshua,2023,4
6653,6689,UK,UK,2023-04-02 18:58:04,Evening,West Ham vs Southampton,Celtic,Real Madrid vs Valladolid,Ross County vs Celtic,Palm Sunday,Tom Pelphrey,Suella Braverman,Exeter Chiefs,Rey Mysterio,Miles Routledge,Craig Bellamy,KSI,Brighton Marathon,King Charles coronation,Zendaya,Sarah Polley,Premier League,Man City vs Liverpool,Chelsea,Arsenal,2023,4
6655,6691,DE,UK,2023-04-02 18:58:04,Evening,Unfall Bad Langensalza,Werder Bremen gegen Hoffenheim,VfL Osnabrück gegen Dynamo,1. FC Magdeburg gegen Hansa Rostock,Hermann Gerland,Real Madrid,Picasso,Feine Sahne Fischfilet,Holstein Kiel,FC Bayern,Formel 1,The Masked Singer,Schalke,VfB Stuttgart,Union Berlin gegen VfB Stuttgart,F1,Bayern,RB Leipzig gegen Mainz,Dieter Bohlen,RB Leipzig,2023,4
6656,6692,FR,UK,2023-04-02 18:58:04,Evening,Lille \u2013 Lorient,Florent Pagny,Monaco \u2013 Strasbourg,Picasso,Anthony Joshua,Karl Lagerfeld,FC Nantes,Vote trottinette Paris,Coupe de France,Narbonne,Eric Antoine,TFC,Inter Milan,Maes,West Ham \u2013 Southampton,FCN,Sanna Marin,Semaine sainte,Stade de Reims,OGC Nice,2023,4
6657,6693,NL,UK,2023-04-02 18:58:04,Evening,Formule 1,Feyenoord,Ajax,FC Utrecht,FC Groningen,Real Madrid,Ongeluk Jirnsum,Alonso,Lotte Kopecky,Varsity,Den Bosch Willem II,Waylon,Hamilton,Nyck de Vries,Juventus,PSV,Pogacar,AZ  Heerenveen,Premier League,AZ,2023,4
6658,6694,IT,UK,2023-04-02 18:58:04,Evening,Inter-Fiorentina,Monza-Lazio,Spezia  Salernitana,Eliminato Amici,Massimo Boldi,Kvitova,Giornata autismo,Ivana Spagna,Ezio Greggio,San Francesco di Paola,Shel Shapiro,Il Cantante Mascherato eliminato,Vinitaly,Newcastle-Manchester United,Lazio Monza,Elezioni regionali Fvg,Diodato,Christo Jivkov,Barcellona,Lukaku,2023,4
6659,6695,AUS,UK,2023-04-02 18:58:04,Evening,Real Madrid,West Ham vs Southampton,Tour of Flanders,Gold Coast vs Geelong,I'm A Celebrity,Tom Pelphrey,Arsenal,Fremantle vs West Coast,Broncos,Chelsea,Rhea Ripley,Fernando Alonso,Palm Sunday,Sam Backo,La Liga,Time,Rey Mysterio,Lando Norris,John Cena,Bayern Munich,2023,4
6661,6697,US,UK,2023-04-03 08:05:03,Morning,LSU vs Iowa,LSU Women's Basketball,CMT Awards,F1,Jelly Roll,Red Sox,Asa Hutchinson,Manchester United,Neil Diamond,Formula 1,SNL,Kelsea Ballerini,Denver Nuggets,Kane Brown,Bucks,Kevin Costner Yellowstone,Gwen Stefani,Lil Yachty,Abbott Elementary,The thing,2023,4
6662,6698,UK,UK,2023-04-03 08:05:03,Morning,Derek Jacobi,Roman Reigns,Kevin Costner Yellowstone,Joshua vs Franklin,West Ham vs Southampton,Bolton Wanderers,Real Madrid vs Valladolid,F1 Australia,Olivier Awards 2023,Ross County vs Celtic,Tom Pelphrey,Palm Sunday,Children of Men,Suella Braverman,Sanna Marin,Exeter Chiefs,Vladlen Tatarsky,Napoli fc,John Cena,Rey Mysterio,2023,4
