,id,kw_location,time_location,created_date,period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,year,month
8893,8929,US,UK,2023-09-01 08:05:06,Morning,Champions League draw,One Piece live-action,Ruby Franke,Taylor Swift movie,College football,American Airlines flight attendants,John Isner,Burger King Whopper lawsuit,T.J. Hockenson,Matt Corral,Mitch McConnell,Starfield,Idalia track,Gabon,Golden Bachelor,Chelsea,Dianne Feinstein,Inter Miami vs Nashville,Travis Scott,Dundee-Crown High School,2023,9
8894,8930,UK,UK,2023-09-01 08:05:06,Morning,Andy Murray,Grant Shapps,Starfield,Aston Villa,One Piece Netflix,ABBA Agnetha,Sergio Reguilon,RAAC concrete,Ruby Franke,Andrew Tate,Hibs,Bournemouth Air show,Beto,Ricky Hatton,Bangladesh vs Sri Lanka,Big Zuu,Salah,Dire Straits,Supreme,New Covid variant,2023,9
8896,8932,DE,UK,2023-09-01 08:05:06,Morning,Füllkrug,One Piece Netflix,Eintracht Frankfurt gegen Lewski Sofia,Bonucci,Kindergrundsicherung,Starfield Test,Mitch McConnell,UEFA champions league,Haaland,Johannesburg,Kieling 7 vs Wild,Champions League Auslosung,Oliver Pocher,Blue Moon,Hurrikan Idalia Florida,Palhinha,Zverev,Unfall A2,Till Lindemann,Bürgergeld,2023,9
8897,8933,FR,UK,2023-09-01 08:05:06,Morning,Maroc,Sylvain Tesson,Rijeka \u2013 Lille,Gad Elmaleh,Idriss Aberkane Polytechnique,Thor : Ragnarok,Liste Deschamps,Jean-Jacques Goldman,Lenny Martinez,Europa League,Novak Djokovic,Nouveau variant Covid Pirola,Mitch McConnell,Supreme,UEFA,Cyril Hanouna,Equipe de France,Newcastle,Goldman,Antoine Dupont,2023,9
8898,8934,NL,UK,2023-09-01 08:05:06,Morning,Ajax Ludogorets,SK Brann,Blauwe maan,VanMoof,Starfield review,Tong Tong Fair,PSV,Champions League-loting,Gabon,Ruud de Wild,Holland Norway Lines,Sam Lammers,Meghan Markle,Blauwe maan,US Open,Sparta,Heerenveen,Almere City,Max Verstappen,FC Groningen,2023,9
8899,8935,IT,UK,2023-09-01 08:05:06,Morning,Bonus trasporti,Firenze,Bundesliga,Colombo,Detenuto in attesa di giudizio,Maneskin,Solbakken,Omicidio Napoli,Fine calciomercato 2023,Champions League,Incidente ferroviario,Berrettini,One Piece Netflix,Bonucci,Elio Lorenzoni,Lady Diana,Giorgia Meloni Caivano,Guendouzi,Adam Driver,Sister Act,2023,9
8900,8936,AUS,UK,2023-09-01 08:05:06,Morning,Ruby Franke,Neil Mitchell,Spring,Clint Eastwood,Bishop,Spring in Australia,North Korean,Broncos vs Storm,Champions League draw,One Piece live-action,Mitch McConnell,Cricket,Starfield review,COVID visa,Chelsea,Wozniacki,Virginia Trioli,Ryan Gravenberch,Full moon supermoon blue moon,Ansu Fati,2023,9
8902,8938,US,UK,2023-09-01 18:58:07,Evening,Tesla,Spectrum ESPN,Colorado football,The Equalizer 3,Braves vs Dodgers,ACC,Florida Gators football,One Piece live-action,Champions League draw,Taylor Swift movie,College football,8 Passengers,American Airlines flight attendants,NC State football,Cooper Kupp,Matt Corral,Tesla Model 3,Nebraska vs Minnesota,T.J. Hockenson,Burger King Whopper lawsuit,2023,9
8903,8939,UK,UK,2023-09-01 18:58:07,Evening,Andy Murray,Brennan Johnson,Blink-182,Mahek Bukhari,September,Train strike,Sarina Wiegman,Tesla,Joe Biggs,House prices,Ross Stewart,Sue Cleaver,Altay Bayindir,Carlos Alcaraz,England vs New Zealand,Starfield,Grant Shapps,RAAC concrete,One Piece Netflix,Aston Villa vs Hibernian,2023,9
8905,8941,DE,UK,2023-09-01 18:58:07,Evening,Starfield,Conference League,Tesla,Werder Bremen,Galatasaray,Fortuna Düsseldorf,Simon Zoller,September,IFA,Champions-League-Auslosung,Kieling 7 vs Wild,Eintracht Frankfurt,Füllkrug,Bonucci,One Piece,Europa League: Auslosung,Deadline Day,Zverev,IFA 2023,Frankfurt fußball,2023,9
