,id,kw_location,time_location,created_date,period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,year,month
1,37,US,UK,2022-03-11 00:08:03,Late Night,Grimes,MLB,Players Championship,Michigan Basketball,Jussie Smollett,Khalil Mack,Barcelona,Barcelona vs Galatasaray,Chelsea,Madison Cawthorn,Patrick Mahomes,Big Ten tournament bracket,Mario Day,Bruce Weber,Big East Tournament,Jen Psaki,Nick Cannon,Norwich City vs Chelsea,Samuel L. Jackson,Hayden Christensen,2022,3
2,38,UK,UK,2022-03-11 00:08:03,Late Night,Premier League,Leeds United,Rangers,Southampton vs Newcastle,Grimes,Sam Ryder,Wolves vs Watford,This Morning,Barcelona,Crufts 2022,Leicester City,Dolly Parton,F1,Rangers FC,Supreme,Russia Ukraine Putin News,Southmead Hospital,Ryan Coogler,Bryan Adams,Nile Rodgers,2022,3
4,40,DE,UK,2022-03-11 00:08:03,Late Night,Chelsea,Galatasaray,Grimes,Heidi Klum,Kurt Krömer,Schröder Putin,Gauck,Rammstein Zeit,Amazon-Aktie,Tom Kaulitz,Marianne und Michael,David Garrett,Katie Price,Joachim Gauck,EZB,Let\u2019s Dance,Real Madrid gegen PSG,Europa League,Eintracht Frankfurt,Tschernobyl,2022,3
5,41,FR,UK,2022-03-11 00:08:03,Late Night,OM,Leicester \u2013 Rennes,Balthazar,Ne le dis à personne,L'equipe,Braga \u2013 Monaco,Corse,Envoyé Spécial Envoyé Spécial,Retraite à 65 ans,Versailles,Jean-Loup Dabadie,Obi-Wan Kenobi,Marioupol,Lisa Azuelos,State of Play,Robert Menard,Coupe du monde 2022,Alain Maneval,Pauline Cheviller,SOFOOT,2022,3
6,42,NL,UK,2022-03-11 00:08:03,Late Night,Chelsea,PSV,Vitesse,Barcelona,Grimes,Camila Cabello,Bodo Glimt,F1,Volt,Manpads,Kimberley Klaver,Accijns benzine,Boskalis,Real,Feyenoord,PSG,Tsjernobyl,Kevin Magnussen,Hans kazan,Willem 2,2022,3
7,43,IT,UK,2022-03-11 00:08:03,Late Night,Gerardo Seoane,Grimes,Vitesse Roma dove vederla,Animali fantastici,F1,Armi termobariche,Barcellona-Galatasaray,Vinicio Marchioni,Il caso Collini,Fabio Fognini,Ted Bundy,Luca Sabbioni,Alessandro Orsini,Rita Rusic,Il vegetale,Manchester United,Cecilia Rodriguez,Virtus Bologna,Vialli,Olimpia Milano,2022,3
8,44,AUS,UK,2022-03-11 00:08:03,Late Night,Grimes,Barcelona,Norwich City vs Chelsea,The Players Championship,Inc,F1 testing,Kimberley Kitching,NRL,Real Madrid vs PSG,Punjab election 2022 result,Ernest Shackleton,Obi-Wan Kenobi,Man City vs Sporting,NRL tipping,Moomba,Ewan McGregor,Lapse,Robbie Williams,Chernobyl,UP Election 2022,2022,3
10,46,US,UK,2022-03-11 10:36:03,Morning,Jussie Smollett,Grimes,MLB,Khalil Mack,Players Championship,Madison Cawthorn,Barcelona,Chelsea,Baseball,Barcelona vs Galatasaray,Emilio Delgado,Baylor basketball,UNC basketball,Big Ten Tournament bracket,Patrick Mahomes,Freddie Freeman,Mario Day,Villanova basketball,Alabama basketball,Bruce Weber,2022,3
11,47,UK,UK,2022-03-11 10:36:03,Morning,Fantasy Football,Southampton fc,The Players Championship,Jussie Smollett,Premier League,Leeds United,Rangers,Southampton vs Newcastle,Grimes,Sam Ryder,Wolves vs Watford,Leicester City,Barcelona,This Morning,Crufts 2022,Dolly Parton,Rangers fc,Supreme,Russia-Ukraine Putin news,Southmead Hospital,2022,3
13,49,DE,UK,2022-03-11 10:36:03,Morning,Chelsea,Sami Khedira,Galatasaray,Grimes,Rammstein,Heidi Klum,Schröder Putin,Kurt Krömer,Marianne und Michael,Amazon-Aktie,Seal,Gauck,EZB,Let\u2019s Dance,Real Madrid gegen PSG,Europa League,Eintracht Frankfurt,Tschernobyl,Anne Spiegel,ID. Buzz,2022,3
