,id,kw_location,time_location,created_date,period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,year,month
3656,3692,UK,UK,2022-10-02 08:05:03,Morning,AC Milan,Steph McGovern,The 1975,Arsenal vs Tottenham,Crystal Palace vs Chelsea,Arsenal vs Tottenham lineups,Fulham vs Newcastle,West Ham vs Wolves,F1,Southampton vs Everton,London Marathon 2022,Celtic,Hearts vs Rangers,Man City vs Man United,PSG vs Nice,Mallorca vs Barcelona,Thomas Cashman,Robbie Williams,Inter vs Roma,Sheffield United,2022,10
3658,3694,DE,UK,2022-10-02 08:05:03,Morning,Katja Burkard,Helene Fischer,FC Köln,The Masked Singer,Eintracht Frankfurt,Formel 1,BVB,RB Leipzig,VfB Stuttgart,St.Pauli gegen Heidenheim,Matthias Reim,Bella Hadid,F1,SC Freiburg,PSG,Wilsberg,Arsenal,Burkina Faso,Lucas Krzikalla,Elon Musk Roboter,2022,10
3659,3695,FR,UK,2022-10-02 08:05:03,Morning,Barcelone,MotoGP thailande,Stade Rochelais,Ligue 2,Strasbourg \u2013 Rennes,Liverpool \u2013 Brighton,F1,Séville \u2013 Atlético Madrid,Bella Hadid,Empoli \u2013 Milan,Octobre rose,Valenciennes \u2013 Sochaux,Jacques-Brel,Manchester United,Real Madrid,Octobre rose 2022,Marseille,Julien Bayou,Rodez \u2013 Amiens,Nîmes \u2013 Paris FC,2022,10
3660,3696,NL,UK,2022-10-02 08:05:03,Morning,Yolanda Hadid,Omroep Zeeland,Ajax,Cambuur - PSV,F1,Groningen  AZ,Twente  Vitesse,Arib,Liverpool,Arsenal,PSG,Nicaragua,Martijn Vogel,Grand Prix Radio,Bayern,Burkina Faso,F1 Singapore,Eredivisie,Premier League,Lyman,2022,10
3661,3697,IT,UK,2022-10-02 08:05:03,Morning,P. Lion,EMA STOKHOLMA,Los Locos,Neja,Michele Zarrillo,Russell Crowe,Liga Spagnola,Ayahuasca,Guimarães  Benfica,Indonesia,Torino Primavera  Juventus Primavera,Messina-Giugliano,Modena calcio,Paolo Zanetti,Torres  Vis Pesaro,Milan  Juventus,Diretta,Premier League,Marco Bellavia,Antonio Inoki,2022,10
3662,3698,AUS,UK,2022-10-02 08:05:03,Morning,Crystal Palace vs Chelsea,West Ham vs Wolves,Southampton vs Everton,PSG,Time,Lyman,Barcelona,Celtic,Antonio Brown,Mackenzie Dern,Nick Kyrgios,Indonesia,Knockout Sydney,Dream,Epl,Arsenal vs Tottenham,Daylight savings,Liverpool vs Brighton,Australia Cup,AFLW,2022,10
3664,3700,US,UK,2022-10-18 18:58:05,Evening,SuperFly,Elnaz Rekabi,McDonald's Halloween buckets,Boston University COVID strain,Celtics,Kevin Spacey,A Christmas Story Christmas,ZZ Top,Broncos,Ballon d'Or 2022,Student loan forgiveness,BTS,Russell Wilson,Balthazar,Herschel Walker,Kenny Pickett,Selma Blair,Ezra Miller,Melvin Gordon,Taylor Swift,2022,10
3665,3701,UK,UK,2022-10-18 18:58:05,Evening,Andrew Watson footballer,Steven Gerrard,Ezra Miller,Rob Burrow,Diwali,Glastonbury 2023,Elnaz Rekabi,Graham Norton,Creed 3,Sky Stream,Sir derek jacobi,Neymar,Sims 4,Parler,Ballon d'Or 2022,Jeremy Hunt,Matt Goss,Dartford Crossing,Mason Greenwood,Sephora UK,2022,10
3667,3703,DE,UK,2022-10-18 18:58:05,Evening,RB Leipzig gegen HSV,Fred Fussbroich,Ludwigshafen,Bruce Willis,DFB-Pokal,Attila Hildmann,Sims 4,A Plague Tale: Requiem,Waldhof Mannheim,DFB-Pokal,Stuttgarter Kickers gegen Eintracht Frankfurt,Kim de l'Horizon,Richtlinienkompetenz,Elnaz Rekabi,Tim Wiese,DFB-Pokal im TV,Fenerbahce,Gavi,Nachrichten Malu Dreyer,BTS,2022,10
3668,3704,FR,UK,2022-10-18 18:58:05,Evening,Hellfest,Sims 4 gratuit,Cristiano Ronaldo,Franco Gatti,BTS,Julien Clerc,Saint Luc,Elnaz Rekabi,Cara Delevingne,Greve TCL,Paul Pogba,Alpine,Gasly,Lola,Greve,RATP,Bastia \u2013 Bordeaux,Sebastien Haller,Gavi,Transilien,2022,10
3669,3705,NL,UK,2022-10-18 18:58:05,Evening,Raamsdonksveer,Elnaz Rekabi,ADE,Rente studieschuld,KNVB Beker,Glennis Grace,Prime Gaming,Zuidlaardermarkt,SkyShowtime,Patrick de Zeeuw,Parler,Karim Benzema,Ballon d'Or,Baudet,Bergen op Zoom,Carlo Heuvelman,NEC,Don Diablo,Eminem,Xi Jinping,2022,10
3670,3706,IT,UK,2022-10-18 18:58:05,Evening,Franco Gatti,Alessandro Tulli,Nikita,Andrea Giambruno,Mise,The Sims 4,Sarcoma di Ewing,Orietta Berti,Antonino Spinalbese,Francesco Rocca,Gilberto Pichetto Fratin,Elnaz Rekabi,Matteo Piantedosi,Riforma pensioni Opzione donna,Cimitero Poggioreale,Gloria Saccani Jotti,Higuain,Scooter elettrico,Nainggolan,Giugliano  Pescara,2022,10
